epoch,step,train_abs_error_E,train_abs_error_N,train_loss,train_loss_E,train_loss_N,train_loss_matrix,train_mae_matrix,train_percent_E,train_percent_N,train_percent_matrix,run_id
19,19,263.6529541015625,860.13671875,0.0025416484568268,69512.8828125,739835.1875,0.0025416484568268,0.022765539586544,0.0,0.0,100.0,0
20,20,262.3222351074219,860.4661254882812,0.002540314104408,68812.953125,740401.9375,0.002540314104408,0.0226538199931383,0.0,0.0,100.0,0
21,21,261.23944091796875,860.7288208007812,0.002539268694818,68246.046875,740854.125,0.002539268694818,0.0225922763347625,0.0,0.0,100.0,0
22,22,260.3741149902344,860.9354858398438,0.0025384293403476,67794.6796875,741209.9375,0.0025384293403476,0.0225664041936397,0.0,0.0,100.0,0
23,23,259.69781494140625,861.0960083007812,0.0025377324782311,67442.953125,741486.3125,0.0025377324782311,0.0225433111190795,0.0,0.0,100.0,0
24,24,259.1841735839844,861.21923828125,0.0025371310766786,67176.4375,741698.5625,0.0025371310766786,0.0225165225565433,0.0,0.0,100.0,0
25,25,258.8090209960937,861.3131713867188,0.0025365897454321,66982.109375,741860.375,0.0025365897454321,0.022485751658678,0.0,0.0,100.0,0
26,26,258.5502014160156,861.3846435546875,0.0025360826402902,66848.203125,741983.5,0.0025360826402902,0.0224543176591396,0.0,0.0,100.0,0
27,27,258.3877868652344,861.4395751953125,0.0025355925317853,66764.25,742078.125,0.0025355925317853,0.0224201772361993,0.0,0.0,100.0,0
28,28,258.3039855957031,861.48291015625,0.0025351063814014,66720.9453125,742152.8125,0.0025351063814014,0.0223826523870229,0.0,0.0,100.0,0
29,29,258.2830810546875,861.518798828125,0.0025346165057271,66710.1484375,742214.625,0.0025346165057271,0.0223423428833484,0.0,0.0,100.0,0
30,30,258.31134033203125,861.5503540039062,0.0025341184809803,66724.75,742269.0,0.0025341184809803,0.0222998633980751,0.0,0.0,100.0,0
31,31,258.3769836425781,861.5801391601562,0.0025336095131933,66758.6640625,742320.3125,0.0025336095131933,0.0222577229142189,0.0,0.0,100.0,0
32,32,258.47003173828125,861.6099853515625,0.0025330891367048,66806.7578125,742371.75,0.0025330891367048,0.0222146622836589,0.0,0.0,100.0,0
33,33,258.58209228515625,861.6412353515625,0.0025325578171759,66864.6953125,742425.625,0.0025325578171759,0.0221716985106468,0.0,0.0,100.0,0
34,34,258.7063903808594,861.674560546875,0.002532017417252,66929.0,742483.0625,0.002532017417252,0.0221306830644607,0.0,0.0,100.0,0
35,35,258.8374328613281,861.7105102539062,0.0025314688682556,66996.8203125,742545.0,0.0025314688682556,0.0220892019569873,0.0,0.0,100.0,0
36,36,258.97088623046875,861.7492065429688,0.002530915196985,67065.921875,742611.6875,0.002530915196985,0.0220474004745483,0.0,0.0,100.0,0
37,37,259.1034545898437,861.79052734375,0.0025303587317466,67134.6015625,742682.9375,0.0025303587317466,0.0220056492835283,0.0,0.0,100.0,0
38,38,259.2326965332031,861.8342895507812,0.002529801800847,67201.59375,742758.3125,0.002529801800847,0.0219642594456672,0.0,0.0,100.0,0
39,39,259.3568115234375,861.8801879882812,0.0025292476639151,67265.953125,742837.4375,0.0025292476639151,0.0219254344701766,0.0,0.0,100.0,0
40,40,259.4746398925781,861.927734375,0.0025286986492574,67327.0859375,742919.4375,0.0025286986492574,0.0218878649175167,0.0,0.0,100.0,0
41,41,259.5854187011719,861.9766235351562,0.0025281575508415,67384.5859375,743003.6875,0.0025281575508415,0.0218507070094347,0.0,0.0,100.0,0
42,42,259.6887512207031,862.0264282226562,0.0025276259984821,67438.25,743089.5625,0.0025276259984821,0.0218140520155429,0.0,0.0,100.0,0
